filename	ATTRIBUTE_SampleType	ATTRIBUTE_SampleNumber	ATTRIBUTE_Treatment	ATTRIBUTE_Nitrogen	ATTRIBUTE_Phosphorus	ATTRIBUTE_Genotype	ATTRIBUTE_Mass	ATTRIBUTE_Volume
3.mzXML	SAMPLE	3	HNHP	high	high	Yellow	13.8	750
5.mzXML	SAMPLE	5	HNHP	high	high	Yellow	12.1	500
8.mzXML	SAMPLE	8	MNHP	medium	high	Yellow	10.8	500
9.mzXML	SAMPLE	9	MNHP	medium	high	Yellow	12.5	500
13.mzXML	SAMPLE	13	MNHP	medium	high	Yellow	7.8	300
18.mzXML	SAMPLE	18	LNHP	low	high	Yellow	6.6	300
19.mzXML	SAMPLE	19	LNHP	low	high	Yellow	10.8	500
23.mzXML	SAMPLE	23	HNMP	high	medium	Yellow	12.1	500
25.mzXML	SAMPLE	25	HNMP	high	medium	Yellow	11.3	500
32.mzXML	SAMPLE	32	MNMP	medium	medium	Yellow	8.6	500
33.mzXML	SAMPLE	33	MNMP	medium	medium	Yellow	14.2	750
35.mzXML	SAMPLE	35	MNMP	medium	medium	Yellow	13	750
36.mzXML	SAMPLE	36	LNMP	low	medium	Yellow	6.7	300
38.mzXML	SAMPLE	38	LNMP	low	medium	Yellow	12.6	500
39.mzXML	SAMPLE	39	LNMP	low	medium	Yellow	1.2	300
40.mzXML	SAMPLE	40	HNLP	high	low	Yellow	12	500
41.mzXML	SAMPLE	41	HNLP	high	low	Yellow	12.6	500
42.mzXML	SAMPLE	42	HNLP	high	low	Yellow	14.8	750
44.mzXML	SAMPLE	44	MNLP	medium	low	Yellow	14.7	750
45.mzXML	SAMPLE	45	MNLP	medium	low	Yellow	13.2	750
46.mzXML	SAMPLE	46	HNHP	high	high	Purple	14.1	500
47.mzXML	SAMPLE	47	HNHP	high	high	Purple	12.7	500
48.mzXML	SAMPLE	48	HNHP	high	high	Purple	11.7	500
49.mzXML	SAMPLE	49	HNHP	high	high	Purple	13.2	750
51.mzXML	SAMPLE	51	MNHP	medium	high	Purple	13.8	750
52.mzXML	SAMPLE	52	MNHP	medium	high	Purple	12.1	500
53.mzXML	SAMPLE	53	MNHP	medium	high	Purple	12.3	500
54.mzXML	SAMPLE	54	MNHP	medium	high	Purple	8.3	500
55.mzXML	SAMPLE	55	MNHP	medium	high	Purple	11.9	500
56.mzXML	SAMPLE	56	LNHP	low	high	Purple	7.8	300
57.mzXML	SAMPLE	57	LNHP	low	high	Purple	6.6	300
60.mzXML	SAMPLE	60	LNHP	low	high	Purple	3	300
61.mzXML	SAMPLE	61	LNHP	low	high	Purple	8.2	500
63.mzXML	SAMPLE	63	LNHP	low	high	Purple	2.8	300
64.mzXML	SAMPLE	64	HNMP	high	medium	Purple	15.6	750
65.mzXML	SAMPLE	65	HNMP	high	medium	Purple	15.2	750
66.mzXML	SAMPLE	66	HNMP	high	medium	Purple	13.3	750
67.mzXML	SAMPLE	67	HNMP	high	medium	Purple	12.7	500
