smiles	class_results	superclass_results	pathway_results	isglycoside
CCOC(=O)C(CC(=O)C1=CC=CC=C1)NC(C)C(=O)O	Dipeptides	Small peptides	Amino acids and Peptides	False
CC1C(=O)C(C(C(O1)C2=C(C3=C(C=C2O)OC(=CC3=O)C4=CC(=C(C=C4)O)OC)O)O)O	Flavones	Flavonoids	Shikimates and Phenylpropanoids	False
C1C(C(C(C(O1)OC2=CC(=CC(=C2C(=O)C3=CC(=CC(=C3)O)O)O)O)OC(=O)C4=CC=CC=C4)O)O	Acyl phloroglucinols	Phloroglucinols	Polyketides	True
CCCCCCCCC=CC=CCCCCCCCCCCCCCCC=CC=CCCCC(=O)OCC(CO)O	Diacylglycerols	Glycerolipids	Fatty acids	False
C=C(CO)C(C#N)OC1C(C(C(C(O1)CO)O)O)O	Cyanogenic glycosides	Amino acid glycosides	Amino acids and Peptides	True
CC(=O)C(CC=C)C(=O)OC	Wax monoesters	Fatty esters	Fatty acids	False
CC(C)C(C)CCC(C)C1CCC2C1(CCC3C2CCC4=CC(=O)CCC34C)C	Cholestane steroids,Ergostane steroids	Steroids	Terpenoids	False
CCCCCC=CCC=CCC=CCC=CCCCC(=O)OC1CC(OC1CCCCC)C(CCCCCCCC=C)O			Fatty acids	False
CCCCCC#COC(=O)OC	Wax monoesters	Fatty esters	Fatty acids	False
CC1=CC(=C(C2=C1C(=O)C=C(O2)CC(=O)C)C3C(C(C(C(O3)CO)O)O)O)O	Chromones	Chromanes	Polyketides	False
CCCCCCC12CC3CCC4CC5(C(C6(C4C3(C(C1(CCC7(C2CC(CC7)(C)C(=O)[O-])C)C)CC6)C)CO5)CCC)O	Lupane triterpenoids	Triterpenoids	Terpenoids	True
CCCCCC=CCC=CCC=CCC1C(O1)CCCC(=O)OC	Epoxyeicosatrienoic acids	Eicosanoids	Fatty acids	False
CCCCC(=O)C=CC=CC(=O)CCCCCCCC(=O)O	Other Octadecanoids	Octadecanoids	Fatty acids	False
CCCCCC#COC(=O)OC	Wax monoesters	Fatty esters	Fatty acids	False
CC1C(C(C(C(O1)OCC2C(C(C(C(O2)OC3=CC(=C4C(=C3)OC(=CC4=O)C5=CC(=C(C=C5)O)O)O)O)O)O)O)O)O	Flavones	Flavonoids	Shikimates and Phenylpropanoids	True
C1=CC=C(C=C1)CC=CCC(=O)CCC(=O)O			Fatty acids	False
CCC=CCC=CCC=CCC=CCCC(=O)CCC=CCC=CCC=CCC=CCC	Hydrocarbons	Fatty acyls	Fatty acids	False
CCCCC(=O)C=CC=CC(=O)CCCCCCCC(=O)O	Other Octadecanoids	Octadecanoids	Fatty acids	False
CC1CCC(C2(C1CC3C(C(=O)OC3C2)C)C)OC4C(C(C(C(O4)CO)O)O)O	Eudesmane sesquiterpenoids	Sesquiterpenoids	Terpenoids	True
CC12CCC3(CC1CCC4C2CCC5(C4CCC5(C)O)C)CS3	Androstane steroids	Steroids	Terpenoids	False
C1=CC=C(C=C1)NC2=CC=CC=C2			Shikimates and Phenylpropanoids	False
C(CC(=O)C[N+]#N)CN(CCN(CCC(=O)O)[N+](=O)[O-])[N+](=O)[O-]	Polyamines	Ornithine alkaloids	Alkaloids	False
C[N+](C)(C)CCOP(=O)(O)O			Fatty acids	False
CCC(CO)NC1=NC2=C(N1CCO)C(=O)N(C(=O)N2C)C	Purine alkaloids	Pseudoalkaloids	Alkaloids	False
CCCCCC=CCC=CCCCCCCCC(=O)OCC1CO1			Fatty acids	False
CCCCCCCCCCC=CCCC1C(O1)CCC2C(O2)CCCCCCCCCCCCC3=CC(OC3=O)C	Acetogenins	Linear polyketides	Polyketides	False
CCC(C)C(=O)OC1CC(C=C2C1C(C(C=C2)C)CCC(CC(CC(=O)O)O)O)C	Monacolins and Monacolin derivatives	Cyclic polyketides	Polyketides	False
COC1=C(C=CC(=C1)C(CC(=O)OC)C2=C(C=C(C3=C2OC(=C(C3=O)O)C4=CC(=C(C=C4)O)O)O)O)O	Flavonols	Flavonoids	Shikimates and Phenylpropanoids	False
CC(=CCCC(=CCCC(=CCCC(=O)C)C)C)C	Fatty aldehydes,Hydrocarbons	Fatty acyls	Fatty acids	False
CC12CCC3C4(CCC(C(C4CCC3(C1)C=C2)(C)C(=O)O)O)C	Beyerane diterpenoids,Norkaurane diterpenoids	Diterpenoids	Terpenoids	False
CN1NC(=O)NN(P1(=O)OC2=CC=CC=C2)C	Imidazole alkaloids	Histidine alkaloids	Alkaloids	False
CC1(CC2C3=CC(=O)C4C56CCCCC4(C3(CC(C2(C7(C1)CCCC7)CO)O)C)CCC5C(C(CC6)O)(C)CO)C			Terpenoids	False
C(CC(=O)C[N+]#N)CN(CCN(CCC(=O)O)[N+](=O)[O-])[N+](=O)[O-]	Polyamines	Ornithine alkaloids	Alkaloids	False
C1=CC=C(C=C1)NC2=CC=CC=C2			Shikimates and Phenylpropanoids	False
CCOC(=O)CCCCCCC1=CCCC1=O				False
CCCCCCCCCCCCCCCC(=O)OCC(CO)OC(=O)CCCCCCCC=CCC=CCC=CCC	Diacylglycerols	Glycerolipids	Fatty acids	False
CN(C)C1=CC=C(C=C1)C(=O)NCC2C(C(C(O2)CO)O)N3CCCC3COC			Alkaloids	False
CCCCCC=CCC=CCC=CCC=CCCCC(=O)OC1CC(OC1CCCCC)C(CCCCCCCC=C)O			Fatty acids	False
C1=CC=C(C=C1)CC(C(=O)O)N	Aminoacids	Small peptides	Amino acids and Peptides,Shikimates and Phenylpropanoids	False
CCCCCCCC(=O)C1C(=O)CCCC1=O	Simple cyclic polyketides	Cyclic polyketides	Polyketides	False
CCCCCCCCC=CC=CCCCCCCCCCCCCCCC=CC=CCCCC(=O)OC(CO)CO	Diacylglycerols	Glycerolipids	Fatty acids	False
CCCCCCCCCCCCCCCC(C(CO)N)O	Sphingoid bases	Sphingolipids	Fatty acids	False
CC(=O)C(CC=C)C(=O)OC	Wax monoesters	Fatty esters	Fatty acids	False
CC1CC2C(CC3(C1C(C(C3OC(=O)C)OC(=O)C)OC(=O)C)C)C(C(=O)O2)C	Pseudoguaiane sesquiterpenoids	Sesquiterpenoids	Terpenoids	False
CC(=O)OCC1(CCCC2(C1CC=C3C2CCC4(C3CC=C(C4C=O)C=O)C)C)C	Spongiane diterpenoids	Diterpenoids	Terpenoids	False
CC1(C2CCC3(C(C2(CCC1O)C)CC=C4C3(CCC5(C4CC(CC5)(C)C(=O)OC)C(=O)O)C)C)C	Oleanane triterpenoids,Ursane and Taraxastane triterpenoids	Triterpenoids	Terpenoids	False
